/2 Population and social processes/21 Culture/213 Theatrical activities/ps-cl-nto07.px	2025-07-29	Number of spectators by marzes and years
/2 Population and social processes/21 Culture/213 Theatrical activities/ps-cl-nto08.px	2025-07-29	Number of spectators per 1000 capita by marzes and years
/2 Population and social processes/21 Culture/213 Theatrical activities/ps-cl-nto09.px	2025-07-29	The received income by marzes and years
/2 Population and social processes/21 Culture/213 Theatrical activities/ps-cl-nto10.px	2025-07-29	Financial resources of theater organizations by indicators, marzes and years
/2 Population and social processes/21 Culture/214 Concert activities/ps-cl-nco01.px	2025-07-29	Number of concert organizations by subordination and years
/2 Population and social processes/21 Culture/214 Concert activities/ps-cl-nco02.px	2025-07-29	Number of concert organizations by marzes and years
/2 Population and social processes/21 Culture/214 Concert activities/ps-cl-nco03.px	2025-07-29	Number of concerts by marzes and years
/2 Population and social processes/21 Culture/214 Concert activities/ps-cl-nco04.px	2025-07-29	Number of concert-tours organized abroad by countries and years
/2 Population and social processes/21 Culture/214 Concert activities/ps-cl-nco05.px	2025-07-29	Number of spectators by marzes and years
/2 Population and social processes/21 Culture/214 Concert activities/ps-cl-nco06.px	2025-07-29	Number of spectators per 1000 capita by marzes and years
/2 Population and social processes/21 Culture/214 Concert activities/ps-cl-nco07.px	2025-07-29	Received revenue from concerts by marzes and years
/2 Population and social processes/21 Culture/214 Concert activities/ps-cl-nco08.px	2025-07-29	Number of concerts and spectators by indicators and years
/2 Population and social processes/21 Culture/214 Concert activities/ps-cl-nco09.px	2025-07-29	Received revenue from concerts by indicators and years
/2 Population and social processes/21 Culture/214 Concert activities/ps-cl-nco10.px	2025-07-29	Financial resources of concert organizations by indicators, marzes and years
/2 Population and social processes/21 Culture/215 Film production/ps-cl-fp01.px	2025-07-29	Film production by indicators and years
/2 Population and social processes/21 Culture/215 Film production/ps-cl-fp02.px	2025-07-29	Production costs by indicators and years
/2 Population and social processes/21 Culture/215 Film production/ps-cl-fp03.px	2025-12-16	Number of films from 2016 to 2021 by indicators and years
/2 Population and social processes/21 Culture/215 Film production/ps-cl-fp04.px	2025-07-29	Number of films by indicators and years
/2 Population and social processes/21 Culture/215 Film production/ps-cl-fp05.px	2025-07-29	Financial resources of film production organizations by indicators and years
/2 Population and social processes/21 Culture/216 Activity of sport organizations/ps-cl-nso01.px	2025-09-09	Number of sport organizations by marzes and years
/2 Population and social processes/21 Culture/216 Activity of sport organizations/ps-cl-nso02.px	2025-09-09	Number of groups in sport organizations by indicators, marzes and years
/2 Population and social processes/21 Culture/216 Activity of sport organizations/ps-cl-nso03.px	2025-09-09	Number of groups in sport organizations by olympic sport and years
/2 Population and social processes/21 Culture/216 Activity of sport organizations/ps-cl-nso04.px	2025-09-09	Number of groups in sport organizations by non olympic sport and years
/2 Population and social processes/21 Culture/216 Activity of sport organizations/ps-cl-nso05.px	2025-09-09	Number of coaches-pedagogues by indicators, marzes and years
/2 Population and social processes/21 Culture/216 Activity of sport organizations/ps-cl-nso06.px	2025-09-09	Number of coaches-pedagogues per 10000 capita by marzes and years
/2 Population and social processes/21 Culture/216 Activity of sport organizations/ps-cl-nso07.px	2025-09-09	Number of coaches-pedagogues by indicators, olympic sport and years
/2 Population and social processes/21 Culture/216 Activity of sport organizations/ps-cl-nso08.px	2025-09-09	Number of coaches-pedagogues by indicators, non olympic sport and years
/2 Population and social processes/21 Culture/216 Activity of sport organizations/ps-cl-nso09.px	2025-09-09	Number of athletes by indicators, marzes and years
/2 Population and social processes/21 Culture/216 Activity of sport organizations/ps-cl-nso10.px	2025-09-09	Number of athletes per 10 000 capita by marzes and years
/2 Population and social processes/21 Culture/216 Activity of sport organizations/ps-cl-nso11.px	2025-09-09	Number of athletes by olympic sport and years
/2 Population and social processes/21 Culture/216 Activity of sport organizations/ps-cl-nso12.px	2025-09-09	Number of athletes by indicators, non olympic sport and years
/2 Population and social processes/21 Culture/217 Publications/ps-cl-nrp01.px	2025-07-30	Number of release of periodicals by indicators and years
/2 Population and social processes/21 Culture/217 Publications/ps-cl-nrp02.px	2025-07-30	Number of release of periodicals by indicators and years
/2 Population and social processes/21 Culture/217 Publications/ps-cl-nrp03.px	2025-07-30	Publication of newspapers by indicators, languages and years
/2 Population and social processes/21 Culture/217 Publications/ps-cl-nrp04.px	2025-07-30	Publication of newspapers by indicators, languages and years
/2 Population and social processes/21 Culture/217 Publications/ps-cl-nrp05.px	2025-07-30	Release of non-periodicals publication by indicators and years
/2 Population and social processes/21 Culture/217 Publications/ps-cl-nrp06.px	2025-07-30	One-time printing of non-periodicals publication by indicators and years
/2 Population and social processes/21 Culture/217 Publications/ps-cl-nrp07.px	2025-07-30	Publication of books and booklets by languages and years
/2 Population and social processes/21 Culture/217 Publications/ps-cl-nrp08.px	2025-07-30	Publication of books and booklets by languages and years
/2 Population and social processes/21 Culture/217 Publications/ps-cl-nrp09.px	2025-07-30	Publication of books and booklets by thematic sections and years
/2 Population and social processes/21 Culture/217 Publications/ps-cl-nrp10.px	2025-07-30	Printing of books and booklets by thematic sections and years
/2 Population and social processes/21 Culture/217 Publications/ps-cl-nrp11.px	2025-07-30	Publication of books and booklets by purpose and years
/2 Population and social processes/21 Culture/217 Publications/ps-cl-nrp12.px	2025-07-30	Publication of books and booklets by purpose and years
/2 Population and social processes/21 Culture/217 Publications/ps-cl-nrp13.px	2025-07-31	Number of translated books and booklets by languages and years
/2 Population and social processes/21 Culture/217 Publications/ps-cl-nrp14.px	2025-07-31	Number of printing of translated books and booklets by languages and years
/2 Population and social processes/21 Culture/218 Archival activity/ps-cl-ac01.px	2025-09-08	Completion of documents by indicators, types of documents and years
/2 Population and social processes/21 Culture/218 Archival activity/ps-cl-ac02.px	2025-09-08	Evaluation and supplementation of documents by indicators, types of documents and years
/2 Population and social processes/21 Culture/218 Archival activity/ps-cl-ac03.px	2025-09-08	Ensuring document protection by indicators and years
